iteration,user_id,chosen_arm_index,model_name,reward,exploration_reward,accuracy_proxy,novelty_score,serendipity_score,alphas,betas,means,success_rates,temperature,exploration_rate
0,328,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.01 2.  ],[3.01 2.  ],[0.40039841 0.5       ],[0. 0.],0.995,0.0
1,283,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.02 2.  ],[4.02 2.  ],[0.33443709 0.5       ],[0. 0.],0.990025,0.0
2,227,1,Popularity_Baseline,0.5,1.0,0.0,0.1,0.0,[2.02 2.01],[4.02 3.01],[0.33443709 0.40039841],[0. 0.],0.985074875,0.3333333333333333
3,46,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.03 2.01],[5.03 3.01],[0.28753541 0.40039841],[0. 0.],0.9801495006250001,0.25
4,552,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.03 2.02],[5.03 4.02],[0.28753541 0.33443709],[0. 0.],0.9752487531218751,0.4
5,182,1,Popularity_Baseline,0.0,0.0,0.0,0.0,0.0,[2.03 2.03],[5.03 5.03],[0.28753541 0.28753541],[0. 0.],0.9703725093562657,0.5
6,288,1,Popularity_Baseline,0.0,0.0,0.0,0.0,0.0,[2.03 2.04],[5.03 6.04],[0.28753541 0.25247525],[0. 0.],0.9655206468094844,0.42857142857142855
7,503,1,Popularity_Baseline,0.5,1.0,0.0,0.3,0.0,[2.03 2.05],[5.03 7.05],[0.28753541 0.22527473],[0. 0.],0.960693043575437,0.375
8,413,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.04 2.05],[6.04 7.05],[0.25247525 0.22527473],[0. 0.],0.9558895783575597,0.4444444444444444
9,82,1,Popularity_Baseline,0.5,1.0,0.0,0.4,0.0,[2.04 2.06],[6.04 8.06],[0.25247525 0.20355731],[0. 0.],0.9511101304657719,0.4
10,283,0,KBRS_Hybrid,0.5,1.0,0.0,0.0,0.0,[2.05 2.06],[7.05 8.06],[0.22527473 0.20355731],[0. 0.],0.946354579813443,0.45454545454545453
11,164,1,Popularity_Baseline,0.5,1.0,0.0,0.7,0.0,[2.05 2.07],[7.05 9.07],[0.22527473 0.18581688],[0. 0.],0.9416228069143757,0.4166666666666667
12,96,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.06 2.07],[8.06 9.07],[0.20355731 0.18581688],[0. 0.],0.9369146928798039,0.46153846153846156
13,551,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.07 2.07],[9.07 9.07],[0.18581688 0.18581688],[0. 0.],0.9322301194154049,0.5
14,566,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.08 2.07],[10.08  9.07],[0.17105263 0.18581688],[0. 0.],0.9275689688183278,0.4666666666666667
15,441,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.09 2.07],[11.09  9.07],[0.1585736  0.18581688],[0. 0.],0.9229311239742362,0.4375
16,429,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.1  2.07],[12.1   9.07],[0.14788732 0.18581688],[0. 0.],0.918316468354365,0.4117647058823529
17,100,1,Popularity_Baseline,0.5,1.0,0.0,0.8,0.0,[2.1  2.08],[12.1  10.08],[0.14788732 0.17105263],[0. 0.],0.9137248860125932,0.4444444444444444
18,11,1,Popularity_Baseline,0.5,1.0,0.0,0.4,0.0,[2.1  2.09],[12.1  11.09],[0.14788732 0.1585736 ],[0. 0.],0.9091562615825302,0.47368421052631576
19,280,1,Popularity_Baseline,0.5,1.0,0.0,0.9,0.0,[2.1 2.1],[12.1 12.1],[0.14788732 0.14788732],[0. 0.],0.9046104802746175,0.5
